# index   rtt_flux1   rtt_flux2
1 0.01032 0.01032
2 0.01832 0.05032
3 0.01832 0.01832
4 0.01832 0.01832
5 0.01832 0.01832
6 0.01832 0.01832
7 0.01832 0.05832
8 0.01832 0.05832
9 0.01832 0.01832
10 0.01832 0.01832
11 0.01832 0.01832
12 0.01832 0.01832
13 0.01832 0.01832
14 0.01832 0.01832
15 0.01832 0.01832
16 0.01832 0.01832
17 0.01832 0.05832
18 0.01832 0.05832
19 0.01832 0.05832
20 0.01832 0.05832
21 0.01832 0.01832
22 0.01832 0.01832
23 0.01832 0.01832
24 0.01832 0.01832
25 0.01832 0.01832
26 0.01832 0.01832
27 0.01832 0.01832
28 0.01832 0.01832
29 0.01832 0.01832
30 0.01832 0.01832
31 0.01832 0.01832
32 0.01832 0.01832
33 0.01832 0.05832
34 0.01832 0.05832
35 0.01832 0.05832
36 0.01832 0.05832
37 0.01832 0.01832
38 0.01832 0.01832
39 0.01832 0.01832
40 0.01832 0.01832
41 0.01832 0.01832
42 0.01832 0.01832
43 0.01832 0.01832
44 0.01832 0.01832
45 0.01832 0.01832
46 0.01832 0.01832
47 0.01832 0.01832
48 0.01832 0.05832
49 0.01832 0.01832
50 0.01832 0.01832
51 0.01832 0.01832
52 0.01832 0.01832
53 0.01832 0.05832
54 0.01832 0.05832
55 0.01832 0.01832
56 0.01832 0.01832
57 0.01832 0.01832
58 0.01832 0.01832
59 0.01832 0.05832
60 0.01832 0.05832
61 0.01832 0.01832
62 0.01832 0.01832
63 0.01832 0.01832
64 0.01832 0.01832
65 0.01832 0.01832
66 0.01832 0.01832
67 0.01832 0.05832
68 0.01832 0.05832
69 0.01832 0.05832
70 0.01832 0.01832
71 0.01832 0.01832
72 0.01832 0.01832
73 0.01832 0.01832
74 0.01832 0.01832
75 0.01832 0.01832
76 0.01832 0.01832
77 0.01832 0.01832
78 0.01832 0.05832
79 0.01832 0.05832
80 0.01832 0.05832
81 0.01832 0.05832
82 0.01832 0.01832
83 0.01832 0.01832
84 0.01832 0.01832
85 0.01832 0.01832
86 0.01832 0.01832
87 0.01832 0.01832
88 0.01832 0.01832
89 0.01832 0.05832
90 0.01832 0.05832
91 0.01832 0.01832
92 0.01832 0.01832
93 0.01832 0.01832
94 0.01832 0.01832
95 0.01832 0.05832
96 0.01832 0.01832
97 0.01832 0.01832
98 0.01832 0.01832
99 0.01832 0.01832
100 0.01832 0.05832
101 0.01832 0.05832
102 0.01832 0.01832
103 0.01832 0.01832
104 0.01832 0.01832
105 0.01832 0.01832
106 0.01832 0.05832
107 0.01832 0.05832
108 0.01832 0.01832
109 0.01832 0.01832
110 0.01832 0.01832
111 0.01832 0.01832
112 0.01832 0.01832
113 0.01832 0.01832
114 0.01832 0.05832
115 0.01832 0.05832
116 0.01832 0.05832
117 0.01832 0.01832
118 0.01832 0.01832
119 0.01832 0.01832
120 0.01832 0.01832
121 0.01832 0.01832
122 0.01832 0.01832
123 0.01832 0.01832
124 0.01832 0.01832
125 0.01832 0.05832
126 0.01832 0.05832
127 0.01832 0.05832
128 0.01832 0.05832
129 0.01832 0.01832
130 0.01832 0.01832
131 0.01832 0.01832
132 0.01832 0.01832
133 0.01832 0.01832
134 0.01832 0.01832
135 0.01832 0.01832
136 0.01832 0.05832
137 0.01832 0.05832
138 0.01832 0.01832
139 0.01832 0.01832
140 0.01832 0.01832
141 0.01832 0.05832
142 0.01832 0.01832
143 0.01832 0.01832
144 0.01832 0.01832
145 0.01832 0.05832
146 0.01832 0.01832
147 0.01832 0.01832
148 0.01832 0.01832
149 0.01832 0.01832
150 0.01832 0.05832
151 0.01832 0.05832
152 0.01832 0.01832
153 0.01832 0.01832
154 0.01832 0.01832
155 0.01832 0.01832
156 0.01832 0.01832
