Time(s) RTT_Flux1 RTT_Flux2
4.39704 0.10648 NaN
3.11864 0.10648 NaN
0.19912 0.042 NaN
4.13176 0.0556 NaN
2.56216 0.08056 NaN
0.96456 0.10856 NaN
4.80472 0.10648 NaN
1.5636 0.10856 NaN
3.4348 0.10648 NaN
2.71096 0.08152 NaN
0.78152 0.10856 NaN
4.7548 0.09816 NaN
4.25656 0.08056 NaN
0.9812 0.10856 NaN
4.07352 0.0556 NaN
2.5372 0.08056 NaN
2.94392 0.10648 NaN
2.39576 0.0556 NaN
1.22248 0.10856 NaN
4.37208 0.08984 NaN
1.34728 0.10856 NaN
1.6052 0.10856 NaN
1.33064 0.10856 NaN
4.9628 0.10648 NaN
4.66328 0.10648 NaN
1.63848 0.10856 NaN
0.17416 0.042 NaN
4.48024 0.10648 NaN
2.454 0.0556 NaN
1.45544 0.10856 NaN
4.78808 0.10648 NaN
3.20184 0.10648 NaN
0.46536 0.07528 NaN
4.30552 0.0732 NaN
0.28232 0.042 NaN
3.50968 0.10648 NaN
2.22296 0.03896 NaN
4.2972 0.0732 NaN
3.32664 0.10648 NaN
0.7316 0.10856 NaN
4.89624 0.10648 NaN
4.49688 0.09816 NaN
0.69832 0.10856 NaN
4.2316 0.08056 NaN
0.14184 0.03896 NaN
4.838 0.10648 NaN
0.29896 0.042 NaN
0.898 0.10856 NaN
0.274 0.042 NaN
1.43048 0.10856 NaN
1.72168 0.10856 NaN
3.30168 0.10648 NaN
4.87128 0.10648 NaN
4.40536 0.10648 NaN
1.84648 0.10856 NaN
1.66344 0.10856 NaN
4.99608 0.10648 NaN
0.67336 0.10856 NaN
0.20744 0.042 NaN
0.9396 0.10856 NaN
4.51352 0.08984 NaN
0.49032 0.07528 NaN
3.53464 0.10648 NaN
0.79816 0.10856 NaN
4.63832 0.10648 NaN
4.92952 0.10648 NaN
2.66936 0.0732 NaN
2.65272 0.0732 NaN
4.19832 0.08056 NaN
2.77752 0.10648 NaN
1.05608 0.10856 NaN
0.0596 0.03896 NaN
2.52888 0.08056 NaN
3.94136 0.03896 NaN
1.7716 0.10856 NaN
1.16424 0.10856 NaN
3.21848 0.10648 NaN
1.28904 0.10856 NaN
3.03544 0.10648 NaN
4.90456 0.10648 NaN
0.88136 0.10856 NaN
4.72152 0.09816 NaN
4.17336 0.07224 NaN
0.70664 0.10856 NaN
2.75256 0.10648 NaN
1.8132 0.10856 NaN
2.42904 0.0556 NaN
2.86072 0.08984 NaN
3.1852 0.10648 NaN
2.98552 0.10648 NaN
2.8108 0.10648 NaN
2.28024 0.03896 NaN
1.26408 0.10856 NaN
3.01048 0.10648 NaN
4.58008 0.09816 NaN
1.55528 0.10856 NaN
3.13528 0.10648 NaN
1.37224 0.10856 NaN
0.38216 0.07528 NaN
3.42648 0.10648 NaN
1.49704 0.10856 NaN
2.29688 0.03896 NaN
0.06792 0.03896 NaN
3.24344 0.10648 NaN
4.34712 0.0732 NaN
1.78824 0.10856 NaN
3.3932 0.10648 NaN
1.09768 0.10856 NaN
2.40408 0.0556 NaN
3.36824 0.10648 NaN
1.38888 0.10856 NaN
1.522 0.10856 NaN
2.51224 0.06392 NaN
0.91464 0.10856 NaN
1.0644 0.10856 NaN
4.20664 0.08056 NaN
0.1908 0.042 NaN
2.34584 0.04728 NaN
4.32216 0.0732 NaN
1.76328 0.10856 NaN
4.4636 0.10648 NaN
1.58024 0.10856 NaN
0.30728 0.042 NaN
4.61336 0.10648 NaN
0.59016 0.10856 NaN
4.43032 0.10648 NaN
1.88808 0.10856 NaN
1.87144 0.10856 NaN
1.40552 0.10856 NaN
1.18088 0.10856 NaN
4.73816 0.09816 NaN
0.41544 0.07528 NaN
3.45144 0.10648 NaN
4.55512 0.08984 NaN
3.74264 0.1148 NaN
2.61208 0.08056 NaN
0.2324 0.042 NaN
4.84632 0.10648 NaN
1.59688 0.10856 NaN
3.518 0.10648 NaN
4.44696 0.10648 NaN
2.87736 0.08984 NaN
2.69432 0.0732 NaN
4.38872 0.10648 NaN
0.3988 0.07528 NaN
2.44568 0.0556 NaN
4.67992 0.10648 NaN
1.08104 0.10856 NaN
2.55384 0.08056 NaN
2.7692 0.10648 NaN
3.07704 0.10648 NaN
0.51528 0.09192 NaN
4.82136 0.10648 NaN
2.08776 0.11688 NaN
0.33224 0.05032 NaN
1.61352 0.10856 NaN
0.80648 0.10856 NaN
4.94616 0.10648 NaN
4.09016 0.0556 NaN
0.62344 0.10856 NaN
1.90472 0.10856 NaN
0.74824 0.10856 NaN
2.96056 0.10648 NaN
0.34888 0.06696 NaN
4.65496 0.10648 NaN
2.9772 0.10648 NaN
4.47192 0.10648 NaN
4.77976 0.09816 NaN
4.59672 0.10648 NaN
5.02104 0.10648 NaN
0.6484 0.10856 NaN
4.88792 0.10648 NaN
1.00616 0.10856 NaN
1.47208 0.10856 NaN
3.05208 0.10648 NaN
1.2724 0.10856 NaN
3.1436 0.10648 NaN
3.34328 0.10648 NaN
1.11432 0.10856 NaN
3.16024 0.10648 NaN
4.1484 0.0556 NaN
2.894 0.08984 NaN
3.46808 0.10648 NaN
1.23912 0.10856 NaN
0.24904 0.042 NaN
3.28504 0.10648 NaN
